2026-04-15 23:45:48,314 [main] INFO treasure2 | RarityOrderSetDataHandler.java:64 | loading rarity order sets from data packs...
2026-04-15 23:45:48,317 [main] INFO treasure2 | RarityOrderSetDataHandler.java:92 | loaded 0 rarity weight.
2026-04-15 23:45:48,317 [main] INFO treasure2 | RarityLootTableAssociationDataHandler.java:64 | loading rarity loot table associations from data packs...
2026-04-15 23:45:48,319 [main] INFO treasure2 | RarityItemAssociationDataHandler.java:62 | loading rarity item associations from data packs...
2026-04-15 23:45:48,321 [main] INFO treasure2 | RarityBlockAssociationDataHandler.java:62 | loading rarity block associations from data packs...
2026-04-15 23:45:48,323 [main] INFO treasure2 | MobSetDataHandler.java:67 | loading mobsets from data packs...
2026-04-15 23:45:48,327 [main] INFO treasure2 | ChestSubprocessorDataHandler.java:66 | loading chest subprocessors from data packs...
2026-04-15 23:45:48,900 [main] INFO treasure2 | TreasureTags.java:195 | in tags updated event
2026-04-15 23:45:51,633 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:51,635 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:overworld
2026-04-15 23:45:53,186 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,186 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:glacio
2026-04-15 23:45:53,196 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,197 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:cretaceous
2026-04-15 23:45:53,201 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,201 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:earth_orbit
2026-04-15 23:45:53,266 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,266 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension gamma_creatures:gamma_dimension
2026-04-15 23:45:53,284 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,284 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:the_end
2026-04-15 23:45:53,288 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,288 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mercury_orbit
2026-04-15 23:45:53,293 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,293 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:jurassic
2026-04-15 23:45:53,307 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,307 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mercury
2026-04-15 23:45:53,311 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,312 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:venus_orbit
2026-04-15 23:45:53,319 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,320 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:venus
2026-04-15 23:45:53,330 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,330 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:the_nether
2026-04-15 23:45:53,337 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,337 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:moon_orbit
2026-04-15 23:45:53,341 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,341 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:triassic
2026-04-15 23:45:53,345 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,345 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:glacio_orbit
2026-04-15 23:45:53,355 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,356 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:moon
